sample,site,date
CH1,ChestnutHill,2018-05-07
CH2,ChestnutHill,2018-06-11
CH3,ChestnutHill,2018-07-05
CH4,ChestnutHill,2018-08-12
CH5,ChestnutHill,2018-09-11
CH6,ChestnutHill,2018-10-10
EG1,EastGermantown,2018-05-07
EG2,EastGermantown,2018-06-11
EG3,EastGermantown,2018-07-05
EG4,EastGermantown,2018-08-11
EG5,EastGermantown,2018-09-11
EG6,EastGermantown,2018-10-13
OC1,OldCity,2018-05-06
OC2,OldCity,2018-06-09
OC3,OldCity,2018-07-08
OC4,OldCity,2018-08-10
OC5,OldCity,2018-09-10
OC6,OldCity,2018-10-12
FF1,Frankford,2018-05-06
FF2,Frankford,2018-06-08
FF3,Frankford,2018-07-08
FF4,Frankford,2018-08-13
FF5,Frankford,
FF6,Frankford,2018-10-12
WP1,WestPhilly,2018-05-05
WP2,WestPhilly,2018-06-08
WP3,WestPhilly,2018-07-05
WP4,WestPhilly,2018-08-13
WP5,WestPhilly,2018-09-11
WP6,WestPhilly,2018-10-10
NE1,Mayfair,2018-05-06
NE2,Mayfair,2018-06-11
NE3,Mayfair,2018-07-07
NE4,Mayfair,2018-08-11
NE5,Mayfair,
SG1,Callowhill,2018-05-06
SG2,Callowhill,2018-06-09
SG3,Callowhill,2018-07-06
SG4,Callowhill,2018-08-10
SG5,Callowhill,2018-09-10
SG6,Callowhill,2018-10-12
NT1,Nicetown,2018-05-05
NT2,Nicetown,2018-06-08
NT3,Nicetown,2018-07-05
NT4,Nicetown,2018-08-13
NT5,Nicetown,2018-09-07
NT6,Nicetown,2018-10-10
SP1,SouthPhilly,2018-05-07
SP2,SouthPhilly,2018-06-09
SP3,SouthPhilly,2018-07-05
SP4,SouthPhilly,2018-08-11
SP5,SouthPhilly,2018-09-11
SP6,SouthPhilly,2018-10-12
SW1,Kingsessing,2018-05-07
SW2,Kingsessing,2018-06-09
SW3,Kingsessing,2018-07-05
SW4,Kingsessing,2018-08-12
SW5,Kingsessing,2018-09-10
SW6,Kingsessing,2018-10-10
CC1,CenterCity,2018-05-06
CC2,CenterCity,2018-06-09
CC3,CenterCity,2018-07-05
CC4,CenterCity,2018-08-10
CC5,CenterCity,2018-09-10
CC6,CenterCity,2018-10-12
KE1,Kensington,2018-05-06
KE2,Kensington,2018-06-09
KE3,Kensington,2018-07-06
KE4,Kensington,2018-08-11
KE5,Kensington,2018-09-07
KE6,Kensington,2018-10-12
